month,type,rate
Jan-09,All,14.03415783
Jan-09,Food,18.43575419
Jan-09,Core,12.59128683
Feb-09,All,14.58443465
Feb-09,Food,20.04072314
Feb-09,Core,9.099774486
Mar-09,All,14.36647628
Mar-09,Food,16.23303503
Mar-09,Core,15.31560397
Apr-09,All,13.26753128
Apr-09,Food,15.34150613
Apr-09,Core,13.3113037
May-09,All,13.21243523
May-09,Food,15.73962459
May-09,Core,12.58625954
Jun-09,All,11.19378666
Jun-09,Food,13.1379651
Jun-09,Core,9.322480529
Jul-09,All,11.08984583
Jul-09,Food,12.86699824
Jul-09,Core,12.37740754
Aug-09,All,11.04571729
Aug-09,Food,12.74582364
Aug-09,Core,9.247685185
Sep-09,All,10.39035293
Sep-09,Food,12.47182176
Sep-09,Core,9.283499828
Oct-09,All,11.58813994
Oct-09,Food,13.52405037
Oct-09,Core,9.47043349
Nov-09,All,12.36789788
Nov-09,Food,13.48208178
Nov-09,Core,10.98920037
Dec-09,All,13.92956037
Dec-09,Food,15.51798098
Dec-09,Core,11.13841769
Jan-10,All,14.39766097
Jan-10,Food,15.91835372
Jan-10,Core,10.79274654
Feb-10,All,15.64871761
Feb-10,Food,16.20849918
Feb-10,Core,13.32781134
Mar-10,All,14.81175141
Mar-10,Food,15.78961979
Mar-10,Core,12.2969234
Apr-10,All,15.04380883
Apr-10,Food,16.30553492
Apr-10,Core,11.77393774
May-10,All,12.91496679
May-10,Food,13.02310069
May-10,Core,11.63531822
Jun-10,All,14.09892444
Jun-10,Food,15.05308256
Jun-10,Core,12.403118
Jul-10,All,13.00207312
Jul-10,Food,14.04262734
Jul-10,Core,10.55662899
Aug-10,All,13.70167802
Aug-10,Food,15.09018146
Aug-10,Core,13.0111675
Sep-10,All,13.64995009
Sep-10,Food,14.5697166
Sep-10,Core,13.38843761
Oct-10,All,13.44965385
Oct-10,Food,14.06506375
Oct-10,Core,13.03895511
Nov-10,All,12.76600373
Nov-10,Food,14.35070507
Nov-10,Core,11.32784236
Dec-10,All,11.81532331
Dec-10,Food,12.70063002
Dec-10,Core,10.35035623
Jan-11,All,12.07966546
Jan-11,Food,10.25504179
Jan-11,Core,10.19838331
Feb-11,All,11.09983663
Feb-11,Food,12.22137798
Feb-11,Core,10.00535761
Mar-11,All,12.77912837
Mar-11,Food,12.16875775
Mar-11,Core,12.31724008
Apr-11,All,11.29128164
Apr-11,Food,11.62872182
Apr-11,Core,12.17369686
May-11,All,12.35212784
May-11,Food,12.17901707
May-11,Core,11.69471316
Jun-11,All,10.23018265
Jun-11,Food,9.21995452
Jun-11,Core,10.31045867
Jul-11,All,9.397383393
Jul-11,Food,7.876968072
Jul-11,Core,10.11832289
Aug-11,All,9.300722795
Aug-11,Food,8.664705688
Aug-11,Core,9.655282039
Sep-11,All,10.33903185
Sep-11,Food,9.479300989
Sep-11,Core,9.813733613
Oct-11,All,10.5444484
Oct-11,Food,9.656081443
Oct-11,Core,10.68146363
Nov-11,All,10.54000511
Nov-11,Food,9.622701091
Nov-11,Core,10.92574909
Dec-11,All,10.28302596
Dec-11,Food,11.020388
Dec-11,Core,9.902011057
Jan-12,All,12.62596924
Jan-12,Food,13.05254152
Jan-12,Core,14.34442036
Feb-12,All,11.86568599
Feb-12,Food,9.728718853
Feb-12,Core,12.00899018
Mar-12,All,12.1108986
Mar-12,Food,11.8481676
Mar-12,Core,14.48372589
Apr-12,All,12.86566161
Apr-12,Food,11.24566512
Apr-12,Core,14.21549924
May-12,All,12.68829751
May-12,Food,12.94205963
May-12,Core,14.55776315
Jun-12,All,12.89198092
Jun-12,Food,11.99146471
Jun-12,Core,13.70192697
Jul-12,All,12.79687673
Jul-12,Food,12.09271917
Jul-12,Core,13.89755255
Aug-12,All,11.68927235
Aug-12,Food,9.910261615
Aug-12,Core,13.19847013
Sep-12,All,11.25299073
Sep-12,Food,10.16363366
Sep-12,Core,12.23340731
Oct-12,All,11.69337676
Oct-12,Food,11.06400349
Oct-12,Core,11.39248623
Nov-12,All,12.32006942
Nov-12,Food,11.55277595
Nov-12,Core,12.34860324
Dec-12,All,11.98108448
Dec-12,Food,10.19935569
Dec-12,Core,12.92831533
Jan-13,All,9.031228097
Jan-13,Food,10.10563879
Jan-13,Core,8.603063719
Feb-13,All,9.541969032
Feb-13,Food,10.97266821
Feb-13,Core,8.610390002
Mar-13,All,8.593279888
Mar-13,Food,9.482134768
Mar-13,Core,6.261478606
Apr-13,All,9.05152417
Apr-13,Food,10.00631287
Apr-13,Core,5.626437582
May-13,All,8.96389221
May-13,Food,9.321480168
May-13,Core,4.079491037
Jun-13,All,8.353156271
Jun-13,Food,9.605582371
Jun-13,Core,4.375182775
Jul-13,All,8.682261186
Jul-13,Food,9.994305419
Jul-13,Core,6.283221256
Aug-13,All,8.230815778
Aug-13,Food,9.723318818
Aug-13,Core,6.757832288
Sep-13,All,7.951913585
Sep-13,Food,9.436944092
Sep-13,Core,7.383987011
Oct-13,All,7.807248522
Oct-13,Food,9.248566326
Oct-13,Core,7.634368022
Nov-13,All,7.931397268
Nov-13,Food,9.313337057
Nov-13,Core,7.785003099
Dec-13,All,7.956880785
Dec-13,Food,9.252608934
Dec-13,Core,8.020782505
Jan-14,All,7.976545095
Jan-14,Food,9.271137417
Jan-14,Core,7.38572662
Feb-14,All,7.707050814
Feb-14,Food,9.207290049
Feb-14,Core,8.023883398
Mar-14,All,7.783373663
Mar-14,Food,9.254115812
Mar-14,Core,6.741721616
Apr-14,All,7.851235118
Apr-14,Food,9.414039563
Apr-14,Core,7.613552121
May-14,All,7.964587781
May-14,Food,9.698387757
May-14,Core,8.563814498
Jun-14,All,8.166670552
Jun-14,Food,9.775950501
Jun-14,Core,9.008216806
Jul-14,All,8.281183921
Jul-14,Food,9.878029873
Jul-14,Core,7.077252311
Aug-14,All,8.534330231
Aug-14,Food,9.959344473
Aug-14,Core,6.638224805
Sep-14,All,8.316720055
Sep-14,Food,9.676434634
Sep-14,Core,6.236633265
Oct-14,All,8.06026218
Oct-14,Food,9.343243963
Oct-14,Core,6.307139579
Nov-14,All,7.927025553
Nov-14,Food,9.144283748
Nov-14,Core,6.281321856
Dec-14,All,7.978297049
Dec-14,Food,9.152279019
Dec-14,Core,6.250573093
Jan-15,All,8.157056235
Jan-15,Food,9.214663638
Jan-15,Core,7.106432584
Feb-15,All,8.358892188
Feb-15,Food,9.359075798
Feb-15,Core,7.08429475
Mar-15,All,8.493597303
Mar-15,Food,9.376377966
Mar-15,Core,7.465536944
Apr-15,All,8.655168684
Apr-15,Food,9.489903602
Apr-15,Core,7.677200588
May-15,All,9.003130312
May-15,Food,9.781953382
May-15,Core,8.272557987
Jun-15,All,9.167719217
Jun-15,Food,10.04112587
Jun-15,Core,8.358851835
